,tmdbId,adult,budget,revenue,popularity,runtime
149,1873,FALSE,0,0,2.356062,100
150,5894,FALSE,2000000,1275000,3.405647,83
151,1775,FALSE,11000000,178104,7.622495,91
152,8839,FALSE,50000000,287928194,9.083391,100
153,20649,FALSE,25000000,13071518,5.909552,128
154,10329,FALSE,50000000,152022101,9.558559,109
155,8963,FALSE,53000000,157387195,8.301571,116
156,26564,FALSE,0,3174695,8.843693,119
157,8068,FALSE,7000000,25405445,16.751273,104
158,8512,FALSE,27000000,16140822,8.696537,102
159,1572,FALSE,90000000,366101666,26.707706,128
160,13552,FALSE,0,0,4.659324,80
161,259209,FALSE,0,0,1.752862,116
162,6520,FALSE,55000000,127600435,11.337443,134
163,9073,FALSE,0,0,7.030098,95
164,10428,FALSE,20000000,7563728,7.027701,107
165,17447,FALSE,0,0,1.708684,92
166,9886,FALSE,25000000,19075720,9.562945,97
167,9482,FALSE,90000000,113493481,12.880531,96
168,19326,FALSE,0,17014653,4.078248,88
169,9344,FALSE,1500000,7412216,6.615709,91
170,9071,FALSE,500000,1148752,4.277634,89
171,8973,FALSE,0,0,5.951245,119
172,15730,FALSE,0,0,1.16522,100
173,47608,FALSE,0,15453274,2.913228,95
174,2293,FALSE,6000000,2122561,7.895187,94
175,9070,FALSE,15000000,6.60E+07,12.013907,92
176,68274,FALSE,0,0,1.788954,100
177,48787,FALSE,0,0,3.075395,95
178,34574,FALSE,0,0,2.032001,93
179,1642,FALSE,22000000,110627965,11.689325,114
180,11472,FALSE,0,69660733,10.698621,103
181,36196,FALSE,150000,472370,1.493392,94
182,11980,FALSE,8,16,7.384045,98
183,58372,FALSE,0,0,0.857216,91
184,32646,FALSE,0,0,4.005789,119
185,10533,FALSE,50000000,10382407,5.09421,135
186,56088,FALSE,0,0,0.543701,93
187,10802,FALSE,45000000,20350754,10.781623,131
188,10149,FALSE,7000000,8349430,6.377211,112
189,18402,FALSE,0,50892160,4.828951,106
190,9348,FALSE,35000000,113374103,12.746303,108
191,139408,FALSE,0,0,0.844048,109
192,281,FALSE,42000000,7959291,11.508891,145
193,5967,FALSE,0,0,6.524447,91
194,79593,FALSE,14000000,5780000,1.42144,99
195,47939,FALSE,0,7025496,1.475092,115
196,36834,FALSE,0,339889,4.380142,111
197,9090,FALSE,0,47774193,7.665036,105
198,3512,FALSE,60000000,104324083,11.048489,100
199,52856,FALSE,0,0,1.704836,93
200,77350,FALSE,0,0,0.551164,73
201,9560,FALSE,20000000,50012507,5.393174,103
202,9804,FALSE,175000000,264218220,20.881366,135
203,31611,FALSE,8000000,0,1.95634,89
204,65796,FALSE,30000000,0,4.156773,98
205,49805,FALSE,0,0,1.738404,97
206,26258,FALSE,0,0,4.542454,90
207,50797,FALSE,2800000,2616503,4.77807,135
208,19155,FALSE,0,763847,2.822375,113
209,76,FALSE,2500000,5535405,9.550174,101
210,11017,FALSE,10000000,26488734,9.719759,89
211,37141,FALSE,0,0,3.557453,90
212,9382,FALSE,21000000,23450000,5.303673,115
213,6715,FALSE,0,0,4.449199,97
214,18256,FALSE,0,0,3.069087,95
215,22625,FALSE,0,0,3.999883,103
216,2292,FALSE,27000,3151130,14.340392,92
217,1909,FALSE,25000000,22200000,7.074761,97
218,8984,FALSE,55000000,214015089,9.31217,123
219,NA,NA,NA,NA,NA,NA
220,4954,FALSE,45000000,0,6.798312,101
221,NA,NA,NA,NA,NA,NA
222,10531,FALSE,0,0,5.510657,103
223,11929,FALSE,0,0,9.566627,132
224,8467,FALSE,16000000,247275374,23.681505,107
225,10451,FALSE,0,7294403,5.145997,123
226,20156,FALSE,0,0,4.577456,103
227,18395,FALSE,0,6841570,2.84344,113
228,522,FALSE,18000000,5887457,8.71766,127
229,397,FALSE,0,0,10.233705,111
230,10525,FALSE,0,0,3.435631,101
231,27985,FALSE,0,0,4.797302,87
232,15789,FALSE,0,35348597,9.17099,78
233,27303,FALSE,15000000,12201255,3.157092,103
234,21183,FALSE,15000000,0,5.456122,96
235,10954,FALSE,0,0,3.1073,111
236,47867,FALSE,0,3992809,0.353928,90
237,43475,FALSE,0,0,0.489385,77
238,72031,FALSE,0,0,2.891961,109
239,14275,FALSE,700000,7830611,6.597222,171
240,1024,FALSE,5000000,3049135,10.683256,99
241,17207,FALSE,10500000,26325256,1.970118,113
242,13701,FALSE,120,0,5.325025,121
243,14819,FALSE,10000000,0,6.061279,100
244,32631,FALSE,0,0,2.003295,106
245,11777,FALSE,25000000,0,7.06891,100
246,628,FALSE,60000000,223664608,20.578476,123
247,87729,FALSE,14000000,2474000,1.596283,139
248,18713,FALSE,0,0,1.123602,82
249,6280,FALSE,60000000,108431355,6.759667,109
250,9061,FALSE,0,0,9.854348,102
251,37108,FALSE,0,0,4.699021,89
252,6071,FALSE,40000000,0,6.46136,101
253,11,FALSE,11000000,775398007,47.363339,121
254,9587,FALSE,18000000,0,9.725866,115
255,19101,FALSE,17000000,0,8.231483,97
256,49980,FALSE,0,0,1.24686,101
257,17961,FALSE,10000000,0,2.764612,100
258,18183,FALSE,2000000,21665468,6.374643,105
259,4476,FALSE,30000000,160638883,9.81723,133
